Status	alpha-0.bam	alpha-L0-5.bam	alpha-L1.bam	alpha-L2.bam	alpha-L4.bam	alpha-L8.bam	alpha-T0-5.bam	alpha-T1.bam	alpha-T2.bam	alpha-T4.bam	alpha-T8.bam	ifnar-0.bam	ifnar-L0-5.bam	ifnar-L1.bam	ifnar-L2.bam	ifnar-L4.bam	ifnar-L8.bam	ifnar-T0-5.bam	ifnar-T1.bam	ifnar-T2.bam	ifnar-T4.bam	ifnar-T8.bam
Assigned	11540246	11726760	14998354	13570703	12196723	13916628	11582784	8033762	8768742	7091502	1875957	16987351	12695392	10516379	10563397	12295541	13019700	15457166	14046156	20308357	9505001	16423695
Unassigned_Ambiguity	323685	317883	404684	367080	352102	394559	321391	222624	236876	202956	61014	472266	347121	287801	287424	352611	367617	436743	376248	562233	286542	469823
Unassigned_MultiMapping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	775437	768103	1013466	981736	1185737	963303	763220	576750	597916	653894	279759	1182755	862039	767045	782920	1047375	900703	1093962	1013012	1420851	835668	1143919
Unassigned_Unmapped	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Nonjunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
