gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Dusp1,ENSMUSG00000024190,124,10.1897633876173,0.693572951568686,0.51952610794208,0.351090203175277,295.61170212766,106.586327833036,20.2712486670161,5.37332538080381,0.823057034945373,1.36751122026693
Trib1,ENSMUSG00000032501,128,9.11715671523657,2.08071885470606,0.51952610794208,0,241.156914893617,85.8612085321682,15.5015430983064,5.37332538080381,3.29222813978149,2.0512668304004
Fos,ENSMUSG00000021250,217,16.625403421902,2.77429180627474,3.11715664765248,1.40436081270111,150.398936170213,40.4633281588379,4.76970556870967,5.37332538080381,4.93834220967224,0
Nfkbia,ENSMUSG00000021025,272,47.7309969209444,4.16143770941212,5.71478718736288,0.702180406350555,289.128989361702,90.7957607466606,27.4258070200806,6.26887961093778,4.93834220967224,0.683755610133466
Zfp36,ENSMUSG00000044786,329,30.0329868266616,10.4035942735303,4.67573497147872,4.21308243810333,325.432180851064,172.709327507235,63.1985987854031,19.7021930629473,23.0455969784704,23.9314463546713
Egr1,ENSMUSG00000038418,2251,560.973289655144,185.183978068839,18.7029398859149,14.7457885333617,1199.30186170213,598.067728396482,196.750354709274,63.5843503395118,34.5683954677057,38.9740697776076
Ier3,ENSMUSG00000003541,99,21.9884367838058,3.46786475784343,2.07810443176832,0,254.122340425532,153.958029092164,89.4319794133063,19.7021930629473,4.11528517472687,4.78628927093426
Btg2,ENSMUSG00000020423,702,173.225977589495,61.7279926896131,12.988152698552,4.91526284445388,1876.09707446809,807.292742290961,352.958212084516,69.8532299504495,65.8445627956299,45.1278702688088
Arc,ENSMUSG00000022602,232,55.2392436276098,18.0328967407858,4.15620886353664,1.75545101587639,130.95079787234,55.2669848023152,17.8863958826613,5.37332538080381,1.64611406989075,2.0512668304004
Tnfaip3,ENSMUSG00000019850,89,19.3069201028539,4.8550106609808,1.55857832382624,0.351090203175277,302.094414893617,190.473715479408,50.0819084714515,7.16443384107175,9.05362738439911,3.41877805066733
Jun,ENSMUSG00000052684,745,215.057637812345,112.358818154127,12.4686265906099,5.26635304762916,1502.69281914894,786.567622990093,323.14755228008,81.4954349421911,45.2681369219955,36.9228029472072
Ier2,ENSMUSG00000053560,327,86.8811404628426,36.0657934815717,5.71478718736288,3.1598118285775,324.135638297872,189.486805036509,52.4667612558064,18.8066388328133,13.9919695940713,16.4101346432032
Rgs1,ENSMUSG00000026358,29,2.14521334476155,0,0.51952610794208,0.351090203175277,128.357712765958,25.6596715153606,7.1545583530645,1.79110846026794,2.46917110483612,1.36751122026693
Itpkc,ENSMUSG00000003752,250,93.8530838333176,59.647273834907,3.63668275559456,1.40436081270111,291.722074468085,250.675252496215,134.744182316048,34.9266149752248,10.6997414542898,5.47004488106773
Sik1,ENSMUSG00000024042,243,67.5742203599887,31.9043557721596,6.75383940324704,2.45763142222694,318.949468085107,179.617700607524,89.4319794133063,37.6132776656267,13.168912559126,12.3076009824024
Junb,ENSMUSG00000052837,244,50.9488169380867,20.8071885470606,10.9100482667837,4.91526284445388,286.535904255319,209.225013894479,69.1607307462902,15.2244219122775,16.4611406989075,19.1451570837371
Klf10,ENSMUSG00000037465,299,87.417443799033,41.6143770941212,9.87099605089952,3.86199223492805,650.864361702128,331.601908813891,116.857786433387,32.2399522848229,12.3458555241806,15.0426234229363
Pdgfb,ENSMUSG00000000489,110,39.6864468780886,10.4035942735303,2.5976305397104,1.40436081270111,121.875,102.638686061442,82.2774210602418,19.7021930629473,12.3458555241806,11.6238453722689
Nfil3,ENSMUSG00000056749,180,61.138580325704,21.5007614986293,5.1952610794208,2.45763142222694,453.789893617021,240.80614806723,113.280507256855,22.3888557533492,12.3458555241806,6.83755610133466
Egr2,ENSMUSG00000037868,234,58.9933669809425,29.8236369174535,10.9100482667837,3.51090203175277,134.840425531915,61.1884474597061,19.0788222748387,14.3288676821435,6.58445627956298,6.83755610133466
Errfi1,ENSMUSG00000028967,498,174.834887598066,121.37526652452,14.5467310223782,5.26635304762916,950.365691489362,551.682937580253,277.835349377338,49.2554826573683,15.6380836639621,21.1964239141375
Pim1,ENSMUSG00000024014,101,28.9603801542809,16.6457508376485,1.55857832382624,2.10654121905166,210.039893617021,152.971118649265,116.857786433387,44.7777115066984,12.3458555241806,9.57257854186853
Ppp1r15a,ENSMUSG00000040435,382,148.019720788547,93.6323484617726,12.4686265906099,3.51090203175277,635.30585106383,481.612296134461,341.033948162741,138.810905670765,57.6139924461761,43.7603590485418
Bcl3,ENSMUSG00000053175,82,30.0329868266616,14.5650319829424,2.07810443176832,0.351090203175277,50.5651595744681,40.4633281588379,21.4636750591935,6.26887961093778,3.29222813978149,2.73502244053387
Atf3,ENSMUSG00000026628,264,107.260667238077,78.3737435272615,9.87099605089952,2.10654121905166,338.397606382979,272.387282239982,181.248811610967,57.315470728574,13.9919695940713,8.88882293173506
Ch25h,ENSMUSG00000050370,74,15.5527967495212,9.7100213219616,3.63668275559456,1.75545101587639,97.2406914893617,33.5549550585485,26.2333806279032,16.1199761424114,12.3458555241806,5.47004488106773
Slc25a25,ENSMUSG00000026819,174,54.7029402914194,31.2107828205909,7.7928916191312,3.51090203175277,315.059840425532,203.303551237088,124.012344786451,52.8376995779041,25.5147680833066,19.8289126938705
Nr4a1,ENSMUSG00000023034,273,124.95867733236,78.3737435272615,8.83194383501536,3.51090203175277,225.598404255319,176.656969278829,95.3941113741934,40.2999403560286,13.9919695940713,10.256334152002
Klf5,ENSMUSG00000005148,35,10.1897633876173,6.93572951568686,1.55857832382624,0,37.5997340425532,21.7120297437667,8.34698474524192,2.68666269040191,0,0
Zswim4,ENSMUSG00000035671,273,96.5346005142695,74.9058787694181,16.6248354541466,4.91526284445388,654.753989361702,536.879280936776,442.390191497822,180.006400256928,73.2520761101382,41.025336608008
Cebpb,ENSMUSG00000056501,92,41.2953568866597,32.5979287237282,2.5976305397104,1.05327060952583,117.985372340426,104.612506947239,67.9683043541128,17.0155303725454,2.46917110483612,2.0512668304004
Ccl7,ENSMUSG00000035373,80,21.4521334476155,18.0328967407858,3.63668275559456,2.45763142222694,580.851063829787,369.104505644033,306.453582789596,162.990869884382,94.6515590187179,60.170493691745
Irf1,ENSMUSG00000018899,426,171.080764244733,125.536704233932,18.7029398859149,11.9370669079594,538.065159574468,313.837520841718,183.633664395322,60.0021334189759,28.8069962230881,27.3502244053387
Dusp8,ENSMUSG00000037887,72,15.0164934133308,10.4035942735303,4.15620886353664,4.91526284445388,164.660904255319,90.7957607466606,54.8516140401612,13.4333134520095,13.9919695940713,10.256334152002
Frat2,ENSMUSG00000047604,14,0.536303336190386,1.38714590313737,1.03905221588416,0.351090203175277,14.2619680851064,10.8560148718833,5.96213196088709,2.68666269040191,1.64611406989075,0.683755610133466
Stk17b,ENSMUSG00000026094,338,174.834887598066,165.070362473347,14.0272049144362,5.61744325080444,644.38164893617,343.444834128673,269.488364632096,84.1820976325931,18.1072547687982,12.3076009824024
Tnfsf9,ENSMUSG00000035678,35,11.2623700599981,6.93572951568686,1.03905221588416,1.05327060952583,55.7513297872341,25.6596715153606,21.4636750591935,11.6422049917416,5.76139924461761,2.73502244053387
Ccl3,ENSMUSG00000000982,94,15.5527967495212,18.7264696923545,8.83194383501536,5.26635304762916,225.598404255319,107.573238275935,71.545583530645,66.2710130299137,47.7373080268316,45.1278702688088
Cxcl1,ENSMUSG00000029380,16,3.21782001714232,0.693572951568686,1.55857832382624,0.351090203175277,12.9654255319149,5.92146265739091,4.76970556870967,3.58221692053587,4.11528517472687,2.73502244053387
Rab20,ENSMUSG00000031504,47,20.3795267752347,13.177886079805,1.55857832382624,1.05327060952583,89.4614361702128,41.4502386017364,31.0030861966128,12.5377592218756,6.58445627956298,2.0512668304004
Slfn2,ENSMUSG00000072620,152,73.4735570580829,51.3243984160828,11.4295743747258,3.51090203175277,189.295212765958,133.232909791295,110.8956544725,17.0155303725454,24.6917110483612,12.3076009824024
Zbtb10,ENSMUSG00000069114,79,24.1336501285674,29.8236369174535,6.75383940324704,1.75545101587639,254.122340425532,124.350715805209,110.8956544725,43.8821572765645,29.6300532580334,21.1964239141375
Trim47,ENSMUSG00000020773,223,152.31014747807,107.503807493146,10.9100482667837,4.21308243810333,220.412234042553,202.316640794189,168.132121297016,68.9576757203156,18.1072547687982,10.9400897621355
Egr3,ENSMUSG00000033730,66,18.2343134304731,15.9521778860798,4.67573497147872,3.51090203175277,58.344414893617,30.594223729853,10.7318375295968,11.6422049917416,9.05362738439911,7.52131171146813
Nfatc1,ENSMUSG00000033016,201,93.8530838333176,96.4066402680474,19.741992101799,3.1598118285775,254.122340425532,208.23810345158,145.476019845645,58.211024958708,28.8069962230881,18.4614014736036
Nfkbiz,ENSMUSG00000035356,146,30.569290162852,22.8879074017666,24.4177270732778,12.63924731431,570.478723404256,185.539163264915,126.397197570806,126.27314644889,119.343270067079,84.7856956565498
Rab11fip1,ENSMUSG00000031488,70,38.0775368695174,36.7593664331404,2.5976305397104,2.10654121905166,124.468085106383,80.9266563176758,71.545583530645,23.2844099834832,11.5227984892352,2.73502244053387
4930523C07Rik,ENSMUSG00000090394,49,25.2062568009482,20.1136155954919,2.5976305397104,1.05327060952583,119.281914893617,85.8612085321682,67.9683043541128,32.2399522848229,12.3458555241806,8.88882293173506
Rrad,ENSMUSG00000031880,58,22.5247401199962,18.7264696923545,3.11715664765248,3.1598118285775,88.1648936170213,49.3455221449243,45.3122029027419,24.1799642136172,9.87668441934448,4.78628927093426
Mir17hg,ENSMUSG00000089726,22,4.82673002571348,2.77429180627474,2.5976305397104,1.75545101587639,107.613031914894,22.6989401866652,13.1166903139516,9.85109653147365,4.11528517472687,2.73502244053387
Micall2,ENSMUSG00000036718,150,76.1550737390349,65.1958574474565,11.9491004826678,5.26635304762916,456.382978723404,397.72490848809,373.229460751532,150.453110662507,43.6220228521048,33.5040248965399
Gadd45b,ENSMUSG00000015312,155,76.6913770752252,46.469387755102,16.1053093462045,6.67071386033027,418.783244680851,210.211924337377,131.166903139516,68.9576757203156,32.9222813978149,22.5639351344044
Birc3,ENSMUSG00000032000,147,68.6468270323695,49.2436795613767,14.0272049144362,7.02180406350555,246.343085106383,147.049655991874,125.204771178629,68.9576757203156,22.2225399435251,15.0426234229363
Zc3h12a,ENSMUSG00000042677,71,19.3069201028539,15.2586049345111,9.35146994295744,7.02180406350555,89.4614361702128,49.3455221449243,52.4667612558064,30.4488438245549,23.0455969784704,26.6664687952052
Arid5a,ENSMUSG00000037447,83,41.8316602228501,37.452939384709,5.71478718736288,3.86199223492805,176.329787234043,102.638686061442,63.1985987854031,33.1355065149568,13.9919695940713,5.47004488106773
Rasl12,ENSMUSG00000041696,21,8.58085337904618,4.16143770941212,2.07810443176832,0.702180406350555,3.88962765957447,5.92146265739091,1.19242639217742,1.79110846026794,1.64611406989075,0
Ptger2,ENSMUSG00000037759,12,3.21782001714232,2.77429180627474,0.51952610794208,0.351090203175277,7.77925531914894,1.97382088579697,4.76970556870967,0.895554230133969,0,1.36751122026693
Rel,ENSMUSG00000020275,100,47.194693584754,29.8236369174535,9.87099605089952,6.67071386033027,309.873670212766,169.748596178539,120.435065609919,68.0621214901816,41.975908782214,46.4953814890757
Zbtb46,ENSMUSG00000027583,64,21.9884367838058,20.1136155954919,8.31241772707328,4.21308243810333,51.8617021276596,39.4764177159394,45.3122029027419,25.0755184437511,13.9919695940713,12.9913565925359
Cd274,ENSMUSG00000016496,19,6.97194337047502,7.62930246725555,0.51952610794208,1.05327060952583,33.7101063829787,19.7382088579697,19.0788222748387,16.1199761424114,8.23057034945373,5.47004488106773
Ripk2,ENSMUSG00000041135,111,55.2392436276098,50.6308254645141,16.6248354541466,3.1598118285775,276.163563829787,185.539163264915,194.365501924919,163.886424114516,63.3753916907937,44.4441146586753
Rffl,ENSMUSG00000020696,92,33.250806843804,33.9850746268656,13.5076788064941,5.61744325080444,120.578457446809,104.612506947239,77.5077154915321,45.6732657368324,32.9222813978149,17.7776458634701
Creb5,ENSMUSG00000053007,32,13.4075834047597,11.097167225099,3.11715664765248,1.75545101587639,46.6755319148936,21.7120297437667,17.8863958826613,6.26887961093778,4.93834220967224,2.0512668304004
Ccl2,ENSMUSG00000035385,94,45.5857835761828,31.2107828205909,12.4686265906099,5.96853345397972,906.283244680851,637.544146112421,631.985987854031,295.53289594421,158.850007744457,126.494787874691
Fgf7,ENSMUSG00000027208,159,109.942183919029,101.261650929028,14.5467310223782,5.61744325080444,1035.9375,672.086011613868,558.055551539031,238.217425215636,84.7748745993734,47.8628927093426
Hivep3,ENSMUSG00000028634,136,71.8646470495118,65.1958574474565,21.3005704256253,5.96853345397972,200.964095744681,162.84022307825,156.207857375242,78.8087722517892,46.0911939569409,44.4441146586753
Bahcc1,ENSMUSG00000039741,433,195.214414373301,208.765458422174,59.7455024133392,29.4915770667233,790.890957446809,619.779758140249,524.667612558064,307.175100935951,195.887574316999,170.938902533367
Zc3h12c,ENSMUSG00000035164,77,35.9323235247559,36.0657934815717,14.5467310223782,2.80872162540222,175.033244680851,83.8873876463712,73.9304363149999,59.1065791888419,37.8606236074872,28.0339800154721
Tnip1,ENSMUSG00000020400,540,285.313374853286,258.70271093512,96.6318560772269,25.6295848317952,579.554521276596,507.271967649821,468.623572125725,300.906221325013,181.072547687982,82.050673216016
Ifrd1,ENSMUSG00000001627,368,209.158301114251,187.958269875114,70.1360245721808,16.501239549238,1349.70079787234,950.394756511241,829.928768955482,439.717126995779,202.472030596562,66.3242941829462
Tjp2,ENSMUSG00000024812,194,106.188060565697,106.116661590009,45.198771390961,6.67071386033027,344.880319148936,273.37419268288,237.292852043306,192.544159478803,74.0751331450836,38.2903141674741
Bdkrb2,ENSMUSG00000021070,6,0.536303336190386,3.46786475784343,0,0,3.88962765957447,3.94764177159394,2.38485278435483,0,0,0.683755610133466
Tnfsf11,ENSMUSG00000022015,12,4.29042668952309,4.16143770941212,2.07810443176832,0,45.3789893617021,18.7512984150712,16.6939694904838,16.1199761424114,4.93834220967224,2.0512668304004
Angptl4,ENSMUSG00000002289,352,171.080764244733,193.506853487663,73.2531812198333,20.0121415809908,290.425531914894,299.033864198241,231.330720082419,144.184231051569,74.8981901800289,49.2304039296096
Egln3,ENSMUSG00000035105,69,25.2062568009482,33.2915016752969,14.0272049144362,5.61744325080444,228.191489361702,204.290461679986,202.712486670161,155.826436043311,67.4906768655206,56.7517156410777
Cxcl2,ENSMUSG00000058427,6,0,2.08071885470606,0.51952610794208,1.05327060952583,7.77925531914894,5.92146265739091,3.57727917653225,4.47777115066984,3.29222813978149,3.41877805066733
Stx11,ENSMUSG00000039232,58,30.569290162852,40.2272311909838,8.83194383501536,2.80872162540222,98.5372340425532,87.8350294179652,77.5077154915321,51.0465911176362,18.1072547687982,6.83755610133466
Relb,ENSMUSG00000002983,245,113.160003936172,124.843131282363,43.1206669591927,24.5763142222694,256.715425531915,220.081028766362,203.904913062338,119.108712607818,47.7373080268316,37.6065585573406
Dot1l,ENSMUSG00000061589,528,273.514701457097,243.444106000609,115.334795963142,43.5351851937344,897.207446808511,813.214204948352,598.598048873063,362.699463204257,239.509597169104,203.07541620964
Nxph3,ENSMUSG00000046719,20,7.50824670666541,6.24215656411817,4.15620886353664,1.75545101587639,3.88962765957447,7.89528354318788,7.1545583530645,4.47777115066984,0.823057034945373,4.1025336608008
B4galt5,ENSMUSG00000017929,708,333.04437177423,314.188547060615,143.908731899956,74.4311230731588,802.559840425532,633.596504340828,554.478272362499,416.432717012295,291.362190370662,216.066772802175
Gdf15,ENSMUSG00000038508,7,2.68151668095193,2.77429180627474,0,0.351090203175277,5.18617021276596,5.92146265739091,8.34698474524192,0.895554230133969,1.64611406989075,0.683755610133466
Nfkb1,ENSMUSG00000028163,935,483.745609243728,545.841912884556,195.341816586222,67.058228806478,1960.37234042553,1644.19279786888,1385.59946771016,1041.52956964581,520.995103120421,283.758578205389
St3gal1,ENSMUSG00000013846,557,278.34143148281,289.913493755711,117.41290039491,46.3439068191366,656.050531914894,485.559937906055,450.737176243064,343.892824371444,186.010889897654,131.964832755759
Gch1,ENSMUSG00000037580,38,17.6980100942828,24.275053304904,5.1952610794208,2.80872162540222,22.0412234042553,28.6204028440561,10.7318375295968,23.2844099834832,17.2841977338528,10.256334152002
Ccdc88c,ENSMUSG00000021182,7,1.60891000857116,2.77429180627474,1.03905221588416,0,272.273936170213,207.251193008682,207.482192238871,135.228688750229,78.1904183198104,61.538004912012
